Strain	Glucose	Fructose	Sucrose	Galactose	Maltose	Raffinose	Ethanol	Acetate (KAc)
DBVPG6765	0.0281	0.0078	0.0144	0.0099	0.0368	0.0158	0.0168	0.013
SK1	0.0387	0.0245	0.1329	0.0085	0.0453	0.0316	0.0126	0.0613
Y55	0.0138	0.0065	0.0334	0.029	0.0469	0.029	0.0337	0.0126
YPS128	0.0434	0.0226	0.0334	0.0069	0.0004	0.005	0.0151	0.0364
DBVPG6044	0.0023	0.0135	0.032	0.0238	0.0319	0.028	0.0377	0.1321
DBVPG1788	0.0031	0.0173	0.007	0.0042	0.0207	0.0171	0.0205	0.1318
DBVPG1373	0.0756	0.0172	0.0183	0.0234	0.0176	0.0484	0.0826	0.0533
DBVPG1853	0.0163	0.0391	0.0334	0.0084	0.0164	0.0307	0.0221	0.0448
YJM326	0.036	0.0242	0.0634	0.002	0.0457	0.0087	0.0155	0.076
BC187	0.0041	0.0154	0.0483	0.0226	0.0191	0.0313	0.0019	0.0106
YPS606	0.05	0.0278	0.0476	0.0175	0.0051	0.0057	0.0503	0.0233
L-1374	0.0492	0.0135	0.0277	0.045	0.005	0.0497	0.0116	0.0142
L-1528	0.0368	0.0526	0.0099	0.0412	0.0374	0.0024	0.0066	0.1504
Y12-SGRP	0.0196	0.0195	0.0097	0.0064	0.0157	0.0218	0.0144	0.0168
DBVPG1106	0.0364	0.0144	0.013	0.0035	0.0025	0.0495	0.0273	0.0089
UWOPS83-787.3	0.0136	0.0299	0.0289	0.0452	0.0144	0.0862	0.0064	0.007
UWOPS87-2421	0.0463	0.0078	0.1749	0.0032	0.0308	0.0389	0.0283	0.0039
YJM421	0.0846	0.0041	0.0258	0.0252	0.0048	0.0498	0.0526	0.0213
K11	0.0237	0.0136	0.0232	0.0284	0.0006	0.0035	0.116	0.0448
YS4	0.0196	0.0248	0.0335	0.0144	0.0275	0.0053	0.0227	0.0327
YS9	0.0238	0.0453	0.0352	0.0135	0.0473	0.0349	0.0105	0.0106
322134S	0.0375	0.0154	0.2563	0.0178	0.0115	0.0068	0.0629	0.0685
378604X	0.0012	0.0403	0.0065	0.0089	0.0148	0.0143	0.015	0.0146
273614N	0.0041	0.0242	0.0042	0.0143	0.0018	0.0282	0.0062	0.0191
YJM978	0.0001	0.0193	0.019	0.0198	0.0048	0.0568	0.0127	0.037
BB32	0.0424	0.0326	0.0118	0.0334	0.043	0.0039	0.008	0.0008
YJM428	0.0008	0.0297	0.0302	0.003	0.0144	0.0751	0.0372	0.0157
Y9-SGRP	0.0455	0.0272	0.0174	0.0095	0.0142	0.0253	0.0024	0.0164
UWOPS03-461.4	0.0365	0.0116	0.007	0.0199	0.0004	0.0367	0.0143	0.03
UWOPS05-217.3	0.0421	0.0083	0.0543	0.0446	0.0191	0.0079	0.01	0.0091
S288c	0.0936	0.0342	0.0185	0.0397	0.0056	0.0702	0.0132	0.0217
UWOPS05-227.2	0.0506	0.0014	0.1248	0.0204	0.0005	0.0585	0.022	0.0019
DBVPG6040	0.0178	0.029	0.0066	0.0124	0.0085	0.008	0.0239	0.0004
YIIc17_E5	0.0463	0.0666	0.0388	0.0958	0.0508	0.0502	0.009	0.0342
YJM451	0.0135	0.0023	0.0104	0.0079	0.007	0.0064	0.0164	0.0008
YJM981	0.0168	0.0064	0.0574	0.0173	0.0062	0.055	0.0518	0.022
YJM975	0.001	0.0055	0.0009	0.0034	0.0229	0.007	0.0096	0.0347
NCYC110	0.0338	0.001	0.0039	0.0256	0.0378	0.0099	0.0024	0.1322
YS2	0.0315	0.006	0.0074	0.0369	0.023	0.0018	0.0605	0.1003
CBS7960	0.0113	0.1983	0.1546	0.0151	0.0121	0.0686	0.035	0.0317
I14	0.0076	0.0069	0.0157	0.0233	0.0082	0.0277	0.0067	0.0428
T7	0.0111	0.0385	0.0044	0.0583	0.0147	0.0024	0.0304	0.029
Y12-WashU	0.0063	0.004	0.0161	0.0041	0.0163	0.0562	0.0299	0.0325
YJM653	0.0614	0.0052	0.0772	0.0037	0.0093	0.0272	0.0133	0.0296
CLIB215	0.0233	0.0086	0.0035	0.0223	0.0168	0.0232	0.0338	0.0099
IL-01	0.0395	0.0053	0.0372	0.0096	0.0165	0.0403	0.021	0.0215
Y9-WashU	0.0302	0.0193	0.0302	0.0054	0.0012	0.0131	0.0288	0.0609
CLIB324	0.0715	0.0393	0.1319	0.0468	0.028	0.0423	0.0106	0.0724
M22	0.0085	0.0181	0.0239	0.0349	0.0146	0.0027	0.0027	0.0125
UC5	0.0512	0.0045	0.0593	0.0191	0.0209	0.0002	0.0271	0.0047
YJM269	0.0363	0.0042	0.0126	0.0222	0.0049	0.005	0.0057	0.0037
YPS1009	0.0283	0.0075	0.0268	0.0094	0.0164	0.0417	0.0129	0.043
CLIB382	0.0531	0.0337	0.159	0.0069	0.0534	0.0325	0.0004	0.046
NC-02	0.0921	0.0244	0.0986	0.0045	0.006	0.0626	0.0044	0.0219
WE372	0.0382	0.034	0.086	0.0035	0.0071	0.0028	0.0026	0.0251
YJM280	0.1215	0.0101	0.0647	0.0457	0.0181	0.0542	0.0055	0.0978
FL100	0.0319	0.005	0.0492	0.0144	0.0148	0.0132	0.0047	0.046
PW5	0.0304	0.0461	0.0781	0.0045	0.0334	0.0552	0.0279	0.06
Y10	0.0459	0.0112	0.0185	0.0008	0.0111	0.0819	0.1217	0.0009
YJM320	0.0376	0.0775	0.1435	0.0224	0.014	0.0796	0.0245	0.0415
YPS163	0.0253	0.0088	0.0629	0.0166	0.0057	0.0534	0.0071	0.0432
