Strain	Glucose	Fructose	Sucrose	Galactose	Maltose	Raffinose	Ethanol	Acetate (KAc)
DBVPG6765	0.7129	0.6245	0.6291	0.455	0.5798	0.4739	0.3369	0.2924
SK1	0.7013	0.6146	0.5948	0.2979	0.5204	0.4077	0.2896	0.2438
Y55	0.783	0.7518	0.7107	0.3417	0.5869	0.5417	0.3381	0.3339
YPS128	0.7498	0.6993	0.6771	0.5804	0.3804	0.4034	0.3679	0.3957
DBVPG6044	0.6884	0.6697	0.6828	0.3859	0.3694	0.5562	0.3534	0.4119
DBVPG1788	0.6763	0.6604	0.6521	0.5347	0.3744	0.4583	0.3304	0.2576
DBVPG1373	0.5641	0.5145	0.5123	0.4009	0.3504	0.3952	0.29	0.2667
DBVPG1853	0.7363	0.5915	0.6499	0.3233	0.519	0.4284	0.2927	0.223
YJM326	0.7374	0.6992	0.7525	0.5463	0.3653	0.4797	0.4193	0.3057
BC187	0.7567	0.7042	0.6675	0.5729	0.5935	0.2674	0.342	0.2849
YPS606	0.7401	0.6839	0.6524	0.5283	0.3275	0.2744	0.3534	0.3348
L-1374	0.8177	0.7588	0.6224	0.4514	0.6347	0.3271	0.331	0.2132
L-1528	0.7104	0.6972	0.5861	0.5042	0.5953	0.4115	0.3298	0.3052
Y12-SGRP	0.7354	0.6706	0.7019	0.5142	0.5823	0.3834	0.3428	0.2792
DBVPG1106	0.7287	0.6894	0.646	0.5057	0.5633	0.3328	0.2592	0.2469
UWOPS83-787.3	0.7079	0.6775	0.8879	0.5287	0.2707	0.2542	0.3189	0.2703
UWOPS87-2421	0.6442	0.6126	0.6776	0.5285	0.3171	0.3991	0.372	0.3116
YJM421	0.7762	0.6979	0.6873	0.5473	0.4806	0.2989	0.3496	0.1963
K11	0.6575	0.5889	0.5834	0.3831	0.4405	0.2981	0.2233	0.071
YS4	0.5596	0.5093	0.5497	0.3623	0.4701	0.3819	0.1459	0.1257
YS9	0.8226	0.8133	0.8085	0.4424	0.6777	0.3099	0.4374	0.2508
322134S	0.5457	0.5111	0.6533	0.4071	0.3539	0.2736	0.2337	0.1763
378604X	0.6232	0.6204	0.6146	0.4852	0.5172	0.3132	0.2659	0.1956
273614N	0.4964	0.4662	0.4402	0.2595	0.4312	0.2162	0.3182	0.2622
YJM978	0.7209	0.6679	0.6664	0.5068	0.5839	0.3417	0.3127	0.2318
BB32	0.75	0.7114	0.7087	0.5448	0.6177	0.2799	0.2641	0.2511
YJM428	0.6351	0.6068	0.6545	0.441	0.3674	0.3151	0.2718	0.1771
Y9-SGRP	0.7063	0.6444	0.7045	0.5392	0.5644	0.247	0.4597	0.2409
UWOPS03-461.4	0.8128	0.7724	0.7477	0.4816	0.5777	0.2435	0.3235	0.2621
UWOPS05-217.3	0.7826	0.7432	0.6014	0.5272	0.537	0.2102	0.3261	0.245
S288c	0.722	0.6778	0.764	0.5095	0.2883	0.1678	0.3272	0.2347
UWOPS05-227.2	0.8585	0.7317	0.8928	0.4581	0.5476	0.1577	0.3387	0.2256
DBVPG6040	0.6897	0.6614	0.6301	0.5336	0.3335	0.1353	0.3391	0.2925
YIIc17_E5	0.425	0.4296	0.3549	0.3749	0.2698	0.2235	0.2639	0.098
YJM451	0.6448	0.6275	0.6938	0.3217	0.3015	0.1925	0.3079	0.2022
YJM981	0.7118	0.6748	0.3203	0.4598	0.5785	0.1786	0.3082	0.213
YJM975	0.7465	0.6638	0.3172	0.4582	0.3796	0.1424	0.297	0.1847
NCYC110	0.5965	0.5617	0.5354	0.1776	0.243	0.4661	0.2361	0.2479
YS2	0.7137	0.6595	0.5807	0.4603	0.5978	0.5118	0.5082	0.3203
CBS7960	0.5547	0.6379	0.768	0.4694	0.4828	0.2969	0.187	0.322
I14	0.6789	0.6603	0.6338	0.4838	0.5795	0.1419	0.2992	0.1576
T7	0.7153	0.697	0.6537	0.5626	0.3156	0.121	0.3713	0.3287
Y12-WashU	0.7417	0.701	0.7096	0.5394	0.6188	0.3025	0.3378	0.2669
YJM653	0.7564	0.7394	0.7437	0.5204	0.6481	0.1383	0.3118	0.2202
CLIB215	0.7089	0.6799	0.3146	0.5332	0.3218	0.096	0.3063	0.2681
IL-01	0.6501	0.6229	0.6178	0.4944	0.3108	0.2262	0.3176	0.3153
Y9-WashU	0.7188	0.676	0.71	0.5306	0.5977	0.2379	0.3334	0.2757
CLIB324	0.5618	0.5287	0.7026	0.4085	0.2408	0.2943	0.2607	0.2737
M22	0.498	0.4486	0.4145	0.277	0.3563	0.1516	0.2535	0.2522
UC5	0.7741	0.7432	0.7298	0.5196	0.6462	0.1689	0.3331	0.242
YJM269	0.6145	0.557	0.6525	0.4667	0.307	0.2653	0.3537	0.2531
YPS1009	0.7023	0.6738	0.661	0.5245	0.3164	0.2278	0.355	0.3273
CLIB382	0.6693	0.5997	0.7826	0.5381	0.5652	0.377	0.3366	0.2803
NC-02	0.7761	0.7129	0.7149	0.5224	0.3259	0.1616	0.3694	0.3342
WE372	0.7571	0.7121	0.6834	0.5132	0.5872	0.1474	0.3367	0.2506
YJM280	0.6725	0.5973	0.7554	0.5753	0.2512	0.1737	0.3198	0.2661
FL100	0.8073	0.7494	0.7471	0.5294	0.6445	0.1739	0.3356	0.2366
PW5	0.7495	0.7256	0.699	0.3535	0.3292	0.6066	0.4117	0.317
Y10	0.779	0.7264	0.782	0.7062	0.3775	0.3737	0.4655	0.1493
YJM320	0.7643	0.7216	0.8199	0.6402	0.5836	0.1697	0.3736	0.2405
YPS163	0.7763	0.7407	0.7044	0.5758	0.3124	0.1343	0.3679	0.3411
